job_description,label
"Junior Mortgage Advisor (Night Shift). About the role: An accountancy practice seeks an experienced Junior Mortgage Advisor (Night Shift). Location: Singapore. Contract. Responsibilities: Negotiate offers between buyers and sellers; Build a pipeline of buyers and vendors. Requirements: 1+ years in a similar role, strong communication skills, and a can-do attitude. We offer competitive salary, health insurance and generous paid leave. All qualified applicants will receive consideration without regard to race, religion, gender or age. To apply, submit your CV and a short cover letter.",0
"Title: Trainee Scrum Master - Immediate Start
Skills: 
About the role: A leading cloud infrastructure provider seeks an experienced Trainee Scrum Master - Immediate Start. Location: Mumbai. Contract. You will own the product backlog and sprint planning for an engineering team. You will define success metrics and analyse feature performance. Minimum 5 years of experience required. A relevant degree or certification is a plus. Salary range: $110,000–$150,000. Plus pension, wellness allowance and team events. To apply, submit your CV and a short cover letter.",1
"Title: STAFF ANDROID DEVELOPER
Skills: Git, Swift, iOS, React Native, Flutter, Dart
Join us! We're a venture-backed fintech scale-up and we need a talented STAFF ANDROID DEVELOPER. This is a Permanent position (Bengaluru). Responsibilities: Optimise app startup time, battery and memory usage; Maintain a high crash-free rate across device fleets; Work with product and design on new mobile features. The ideal candidate brings 5 years of hands-on experience and thrives in a fast-paced environment. Compensation: £35,000–£50,000 depending on experience. All qualified applicants will receive consideration without regard to race, religion, gender or age. Apply now — interviews are being scheduled on a rolling basis.",1
"Title: Associate Cloud Solutions Sales Representative
Skills: 
Our client, a fast-growing SaaS startup, has an immediate opening for a Associate Cloud Solutions Sales Representative in Chennai. You will sell our cloud software platform to enterprise accounts. You will build relationships with CTOs and IT directors. You will run product demos alongside sales engineers. You will exceed quarterly revenue quota for SaaS subscriptions. Minimum 1 years of experience required. A relevant degree or certification is a plus. All qualified applicants will receive consideration without regard to race, religion, gender or age.",0
"Title: ML Engineer
Skills: 
Join us! We're a mobile gaming studio and we need a talented ML Engineer. This is a 6-month contract position (Berlin). Responsibilities: Communicate findings to product and leadership teams; Productionise models with proper monitoring and retraining; Build recommendation, forecasting and nlp systems; Train, evaluate and deploy machine learning models. You have 10+ years of relevant experience.",1
"Stellar Dynamics reports record quarterly revenue, beating expectations. Shares rose 26% in early trading as the healthcare giant credited strong growth in its London operations.",0
"Title: Trainee Sales Representative II
Skills: Negotiation, Cold calling, CRM, Relationship building, Prospecting, Pipeline management, Quota attainment, Communication
Our client, an independent school, has an immediate opening for a Trainee Sales Representative II in Pune. You will run discovery calls, demos and negotiations. You will prospect, qualify and close new business. You will manage a pipeline and forecast accurately. You will consistently hit and exceed monthly quota. You have 10+ years of relevant experience. Benefits include performance bonus, flexible hours and professional development budget. Click apply to start your application. Immediate start available.",0
"Title: Junior Full-Stack Engineer
Skills: TypeScript, CI/CD, Docker, MongoDB, PostgreSQL, React, Python
Our client, a cybersecurity software vendor, has an immediate opening for a Junior Full-Stack Engineer in Manchester. You will design new modules and refactor legacy code. You will ship features across the entire stack, from database to UI. Minimum 5 years of experience required. A relevant degree or certification is a plus. We are an equal opportunity employer and value diversity at our company. To apply, submit your CV and a short cover letter.",1
"Title: ICU Nurse
Skills: Patient care, Medication administration, BLS certification, IV therapy
We are a family-run restaurant group looking for a ICU Nurse to join our growing team in Toronto. Responsibilities: Provide direct patient care and administer medications; Maintain accurate clinical documentation; Monitor vitals and escalate changes in patient condition; Educate patients and families on care plans. Minimum 3 years of experience required. A relevant degree or certification is a plus. In return we offer £35,000–£50,000, hybrid working and clear career progression. We are an equal opportunity employer and value diversity at our company. To apply, submit your CV and a short cover letter.",0
"The healthcare job market in New York, NY: our annual survey of 12 professionals reveals salary trends, remote-work preferences and the skills employers want most this year.",0
"Title: Trainee Housekeeper - Remote
Skills: Food and beverage, Reservations, Event coordination, Guest relations
Join us! We're a busy law firm and we need a talented Trainee Housekeeper - Remote. This is a Part-time position (Toronto). Responsibilities: Lead front-of-house teams through busy periods; Resolve guest complaints quickly and graciously. You have 3+ years of relevant experience. Salary range: ₹8–15 LPA. Plus pension, wellness allowance and team events. Click apply to start your application. Immediate start available.",0
"Title: Senior Desktop Support Analyst
Skills: Windows Server, Active Directory, Office 365, VMware, Ticketing systems, Linux, Intune, Networking, PowerShell
Join us! We're a leading cloud infrastructure provider and we need a talented Senior Desktop Support Analyst. This is a Internship position (Singapore). You will document runbooks and improve IT processes. You will resolve hardware, software and access tickets. You will administer servers, endpoints and business applications. You will patch, monitor and back up company systems. The ideal candidate brings 10 years of hands-on experience and thrives in a fast-paced environment. To apply, submit your CV and a short cover letter.",1
"Title: Senior IT Sales Consultant
Skills: 
Join us! We're a mobile gaming studio and we need a talented Senior IT Sales Consultant. This is a Internship position (New York, NY). You will build relationships with CTOs and IT directors. You will run product demos alongside sales engineers. The ideal candidate brings 5 years of hands-on experience and thrives in a fast-paced environment. Salary range: $70,000–$95,000. Plus pension, wellness allowance and team events. We celebrate diversity and are committed to creating an inclusive environment for all employees. To apply, submit your CV and a short cover letter.",0
"Title: Graduate Marketing Manager
Skills: Copywriting, Brand strategy, Campaign management, Analytics, Google Ads, Social media, Email marketing
A logistics and haulage company is hiring a Graduate Marketing Manager based in Austin, TX. You will grow brand awareness and lead generation. You will coordinate with agencies, designers and sales. You will manage the content calendar and social channels. You will plan and execute multi-channel marketing campaigns. The ideal candidate brings 3 years of hands-on experience and thrives in a fast-paced environment. In return we offer $110,000–$150,000, hybrid working and clear career progression.",0
"Title: Staff Technology Sales Executive
Skills: Negotiation, Demos
A cybersecurity software vendor is hiring a Staff Technology Sales Executive based in Remote. You will exceed quarterly revenue quota for SaaS subscriptions. You will manage the full sales cycle from lead to close in Salesforce. The ideal candidate brings 3 years of hands-on experience and thrives in a fast-paced environment. In return we offer $70,000–$95,000, hybrid working and clear career progression. We are an equal opportunity employer and value diversity at our company. To apply, submit your CV and a short cover letter.",0
"Title: Trainee Security Officer
Skills: Incident reporting, Patrolling, Access control, Conflict de-escalation, English
About the role: A logistics and haulage company seeks an experienced Trainee Security Officer. Location: Hybrid — Bengaluru. Internship. Responsibilities: Provide a visible, reassuring presence; Control site access and verify credentials; Patrol premises and monitor cctv systems. You have 2+ years of relevant experience. Salary range: £55,000–£75,000. Plus pension, wellness allowance and team events. All qualified applicants will receive consideration without regard to race, religion, gender or age.",0
"Title: Trainee Community Outreach Coordinator
Skills: Safeguarding, Community engagement, Case management, Crisis intervention
An accountancy practice is hiring a Trainee Community Outreach Coordinator based in Toronto. You will manage a caseload of clients with complex needs. You will advocate for clients and safeguard the vulnerable. The ideal candidate brings 4 years of hands-on experience and thrives in a fast-paced environment. We offer competitive salary, health insurance and generous paid leave. We are an equal opportunity employer and value diversity at our company. Apply now — interviews are being scheduled on a rolling basis.",0
"LEAD SYSADMIN. About the role: A leading cloud infrastructure provider seeks an experienced LEAD SYSADMIN. Location: Manchester. Part-time. Responsibilities: Administer servers, endpoints and business applications; Document runbooks and improve it processes. The ideal candidate brings 5 years of hands-on experience and thrives in a fast-paced environment. Compensation: ₹8–15 LPA depending on experience. We are an equal opportunity employer and value diversity at our company. To apply, submit your CV and a short cover letter.",1
"Title: Lead Technical Architect
Skills: Security, Azure, Kubernetes, Event-driven architecture, AWS, Microservices
Join us! We're a fast-growing SaaS startup and we need a talented Lead Technical Architect. This is a Full-time position (Berlin). Responsibilities: Own the technical architecture for major initiatives; Translate business requirements into system designs. Minimum 4 years of experience required. A relevant degree or certification is a plus. Benefits include performance bonus, flexible hours and professional development budget.",1
"Apex Industries opens new retail campus in Remote, promising to create 3 jobs over the next three years, local officials announced on Tuesday.",0
"Title: Junior Retail Sales Associate - Immediate Start
Skills: Customer service, Cash handling, POS systems, Stock management, Merchandising, Communication
An accountancy practice is hiring a Junior Retail Sales Associate - Immediate Start based in Delhi NCR. You will manage stock, deliveries and merchandising standards. You will coach team members to hit sales targets. Requirements: 10+ years in a similar role, strong communication skills, and a can-do attitude. We offer competitive salary, health insurance and generous paid leave. Click apply to start your application. Immediate start available.",0
"Title: Junior Frontend Developer
Skills: TypeScript, Webpack, HTML, JavaScript, Tailwind, React, Jest, CSS, Vue
Join us! We're a fast-growing SaaS startup and we need a talented Junior Frontend Developer. This is a Contract position (Delhi NCR). You will build responsive, accessible user interfaces. You will collaborate closely with designers and backend engineers. Minimum 8 years of experience required. A relevant degree or certification is a plus. Benefits include performance bonus, flexible hours and professional development budget. We celebrate diversity and are committed to creating an inclusive environment for all employees. To apply, submit your CV and a short cover letter.",1
"Associate Test Automation Engineer. About the role: A developer-tools startup seeks an experienced Associate Test Automation Engineer. Location: Hybrid — Bengaluru. Full-time. You will integrate tests into CI pipelines and gate releases. You will design and maintain automated test suites. You will champion quality across the development lifecycle. Minimum 5 years of experience required. A relevant degree or certification is a plus. We offer competitive salary, health insurance and generous paid leave. All qualified applicants will receive consideration without regard to race, religion, gender or age. To apply, submit your CV and a short cover letter.",1
"Title: Lead UI Engineer
Skills: Tailwind, Webpack, Next.js, TypeScript, Jest, Vue, React, HTML, English
We are a venture-backed fintech scale-up looking for a Lead UI Engineer to join our growing team in Hybrid — Bengaluru. You will collaborate closely with designers and backend engineers. You will build responsive, accessible user interfaces. You will translate design mockups into pixel-perfect components. Requirements: 10+ years in a similar role, strong communication skills, and a can-do attitude. Benefits include performance bonus, flexible hours and professional development budget. All qualified applicants will receive consideration without regard to race, religion, gender or age. To apply, submit your CV and a short cover letter.",1
